source,target,partial_correlation,abs_partial_corr
PGSUS,SASA,0.018273,0.018273
ISGYO,AYGAZ,0.018233,0.018233
TTKOM,GUBRF,0.018177,0.018177
TOASO,ANHYT,0.018094,0.018094
VESBE,BRYAT,0.018093,0.018093
PETKM,VESTL,0.018047,0.018047
ISGYO,ARCLK,0.018037,0.018037
EGEEN,ASELS,0.017994,0.017994
INDES,MGROS,0.01796,0.01796
SISE,ISCTR,0.017874,0.017874
TAVHL,AYGAZ,0.017858,0.017858
INDES,EKGYO,0.017745,0.017745
DOHOL,EKGYO,0.017722,0.017722
KCHOL,GARAN,0.017714,0.017714
EGEEN,GUBRF,0.017611,0.017611
TURSG,ISGYO,0.01753,0.01753
TKNSA,ASUZU,0.017518,0.017518
MPARK,VESTL,0.01745,0.01745
TKNSA,ALARK,0.017445,0.017445
VESTL,TOASO,0.017408,0.017408
TOASO,ASELS,0.017394,0.017394
OYAKC,BRISA,0.017363,0.017363
TCELL,AKBNK,0.017349,0.017349
AEFES,TKNSA,0.01725,0.01725
ANHYT,EKGYO,0.017167,0.017167
EREGL,TOASO,0.01706,0.01706
DOAS,ENJSA,0.016964,0.016964
ODAS,CEMTS,0.016958,0.016958
SOKM,DOHOL,0.016957,0.016957
TOASO,TTKOM,0.016956,0.016956
AEFES,PGSUS,0.016937,0.016937
EGEEN,ENKAI,0.016932,0.016932
FROTO,KRDMD,0.016908,0.016908
KCHOL,OTKAR,0.016875,0.016875
SKBNK,AYGAZ,0.016847,0.016847
HEKTS,ALARK,0.016782,0.016782
EGEEN,ECILC,0.016763,0.016763
BTCIM,ZOREN,0.016762,0.016762
OYAKC,SISE,0.016699,0.016699
DGATE,SKBNK,0.016485,0.016485
ODAS,DOAS,0.0164,0.0164
HEKTS,OTKAR,0.016395,0.016395
VESBE,TTKOM,0.016388,0.016388
PGSUS,ASELS,0.016364,0.016364
ZOREN,DOHOL,0.016299,0.016299
INDES,ENJSA,0.016233,0.016233
SKBNK,AKFGY,0.016227,0.016227
SASA,BRYAT,0.016153,0.016153
SASA,BRISA,0.016057,0.016057
AKSA,ALARK,0.016004,0.016004
EGEEN,DOAS,0.015989,0.015989
TAVHL,AKSEN,0.015947,0.015947
FROTO,ASELS,0.015944,0.015944
EREGL,DOHOL,0.01591,0.01591
TOASO,ISGYO,0.015907,0.015907
FROTO,ALARK,0.015903,0.015903
KRDMD,HEKTS,0.015896,0.015896
TTKOM,BRISA,0.015893,0.015893
LOGO,ASELS,0.015857,0.015857
ULKER,TTKOM,0.015815,0.015815
TKFEN,SOKM,0.015783,0.015783
ULKER,TKNSA,0.015768,0.015768
SOKM,ENJSA,0.01575,0.01575
PGSUS,CCOLA,0.015722,0.015722
SASA,TTRAK,0.015718,0.015718
PGSUS,TTRAK,0.015698,0.015698
SKBNK,DOHOL,0.015635,0.015635
BRISA,ALARK,0.015615,0.015615
SASA,KCHOL,0.015584,0.015584
TCELL,ISCTR,0.015539,0.015539
SAHOL,ULKER,0.015537,0.015537
TTKOM,DOAS,0.015358,0.015358
PETKM,SAHOL,0.015353,0.015353
DOHOL,GUBRF,0.015147,0.015147
BTCIM,DGATE,0.015144,0.015144
AGHOL,DOAS,0.015129,0.015129
TCELL,TOASO,0.015119,0.015119
EREGL,THYAO,0.015079,0.015079
TKFEN,ISGYO,0.015071,0.015071
PGSUS,TUPRS,0.015036,0.015036
AGHOL,AKSEN,0.015025,0.015025
SASA,HALKB,0.015005,0.015005
BRYAT,CEMTS,0.014948,0.014948
VESBE,TOASO,0.014913,0.014913
TOASO,KRDMD,0.014891,0.014891
OYAKC,PETKM,0.014883,0.014883
TAVHL,EKGYO,0.014867,0.014867
BRISA,DOHOL,0.014862,0.014862
TTKOM,AKBNK,0.014855,0.014855
TKNSA,TOASO,0.0146,0.0146
THYAO,KRDMD,0.014566,0.014566
LOGO,BRYAT,0.01454,0.01454
AKSA,TKNSA,0.014503,0.014503
CCOLA,DOAS,0.014456,0.014456
KCHOL,ALARK,0.014438,0.014438
BRSAN,GUBRF,0.014362,0.014362
TKNSA,EKGYO,0.014274,0.014274
ISGYO,ISCTR,0.014219,0.014219
SASA,ALARK,0.014114,0.014114
KRDMD,ISGYO,0.014077,0.014077
FROTO,ASUZU,0.01406,0.01406
ASUZU,ENKAI,0.013951,0.013951
TTKOM,AYGAZ,0.013851,0.013851
AGHOL,AYGAZ,0.013777,0.013777
MAVI,ISCTR,0.013726,0.013726
PGSUS,ALARK,0.013687,0.013687
SAHOL,TUPRS,0.013668,0.013668
MAVI,ZOREN,0.013664,0.013664
TTKOM,ENJSA,0.013647,0.013647
DOHOL,AKSEN,0.01355,0.01355
BERA,ALARK,0.013535,0.013535
SKBNK,ASUZU,0.013444,0.013444
VESBE,CEMTS,0.013415,0.013415
TKFEN,ECILC,0.0134,0.0134
KCHOL,KRDMD,0.013358,0.013358
AGHOL,PETKM,0.013313,0.013313
AKSA,TTKOM,0.013217,0.013217
SOKM,TOASO,0.013133,0.013133
TCELL,ULKER,0.013101,0.013101
