source,target,partial_correlation,abs_partial_corr
BTCIM,ZOREN,0.014882,0.014882
SASA,BRYAT,0.01488,0.01488
CCOLA,PAPIL,0.01482,0.01482
BTCIM,CCOLA,0.014773,0.014773
THYAO,KRDMD,0.014755,0.014755
DOHOL,GUBRF,0.014641,0.014641
ISGYO,KRDMD,0.01463,0.01463
AGHOL,PETKM,0.014626,0.014626
KCHOL,KRDMD,0.014477,0.014477
BRSAN,GUBRF,0.014405,0.014405
AKSA,ALARK,0.014348,0.014348
VESBE,TOASO,0.014325,0.014325
ISGYO,ISCTR,0.014203,0.014203
MAVI,ZOREN,0.014126,0.014126
DOAS,KRDMD,0.014108,0.014108
ALARK,BRISA,0.014064,0.014064
AKSA,TKNSA,0.014018,0.014018
SAHOL,TUPRS,0.013892,0.013892
MAVI,ISCTR,0.013869,0.013869
ENJSA,TTKOM,0.013844,0.013844
AEFES,MPARK,0.01384,0.01384
FROTO,ASUZU,0.013829,0.013829
AKSEN,DOHOL,0.013784,0.013784
SASA,HALKB,0.013725,0.013725
AKSEN,KRDMD,0.013703,0.013703
SOKM,TOASO,0.013679,0.013679
VESTL,HEKTS,0.013661,0.013661
ARCLK,ZOREN,0.013651,0.013651
ULKER,TCELL,0.01356,0.01356
EKGYO,TAVHL,0.013537,0.013537
TKFEN,ECILC,0.013442,0.013442
TKFEN,TCELL,0.013432,0.013432
AKSA,TTKOM,0.013401,0.013401
ECILC,MGROS,0.013257,0.013257
BRYAT,LOGO,0.013237,0.013237
OYAKC,TKNSA,0.013233,0.013233
ALARK,KCHOL,0.013229,0.013229
KCHOL,OTKAR,0.013226,0.013226
BUCIM,TOASO,0.013195,0.013195
DOHOL,HEKTS,0.013191,0.013191
TKFEN,VESTL,0.013187,0.013187
PGSUS,ALARK,0.01313,0.01313
TTRAK,ZOREN,0.013064,0.013064
ASELS,EKGYO,0.012915,0.012915
