date,ticker,return_value
2020-11-23,ISGYO,
2020-11-23,KCHOL,
2020-11-23,HEKTS,
2020-11-23,HALKB,
2020-11-23,THYAO,
2020-11-23,SOKM,
2020-11-23,TCELL,
2020-11-23,TAVHL,
2020-11-23,SISE,
2020-11-23,SAHOL,
2020-11-23,SKBNK,
2020-11-23,PETKM,
2020-11-23,TKNSA,
2020-11-23,INDES,
2020-11-23,DGATE,
2020-11-23,TUPRS,
2020-11-23,TOASO,
2020-11-23,TTRAK,
2020-11-23,KRDMD,
2020-11-23,ISCTR,
2020-11-23,TTKOM,
2020-11-23,ZOREN,
2020-11-23,OTKAR,
2020-11-24,AEFES,
2020-11-24,AGHOL,
2020-11-24,AKSA,
2020-11-24,EREGL,
2020-11-24,FROTO,
2020-11-24,BTCIM,
2020-11-24,CCOLA,
2020-11-24,PAPIL,
2020-11-24,TURSG,
2020-11-24,TKFEN,
2020-11-24,OYAKC,
2020-11-24,PGSUS,
2020-11-24,SASA,
2020-11-24,MAVI,
2020-11-24,BRYAT,
2020-11-24,AKFGY,
2020-11-24,AGESA,
2020-11-24,AKBNK,
2020-11-24,ASUZU,
2020-11-24,AKSEN,
2020-11-24,ANHYT,
2020-11-24,ALARK,
2020-11-24,ENKAI,
2020-11-24,EGEEN,
2020-11-24,BRSAN,
2020-11-24,CEMTS,
2020-11-24,ECILC,
2020-11-24,DOHOL,
2020-11-24,CIMSA,
2020-11-24,DOAS,
2020-11-24,GARAN,
2020-11-24,BERA,
2020-11-24,BRISA,
2020-11-24,BIMAS,
2020-11-24,BUCIM,
2020-11-24,ASELS,
2020-11-24,AYGAZ,
2020-11-24,ARCLK,
2020-11-24,YKBNK,
2020-11-24,VAKBN,
2020-11-24,ULKER,
2020-11-24,VESTL,
2020-11-24,VESBE,
2020-11-24,ENJSA,
2020-11-24,EKGYO,
2020-11-24,GUBRF,
2020-11-24,MPARK,
2020-11-24,ODAS,
2020-11-24,MGROS,
2020-11-24,LOGO,
2020-11-24,ISGYO,
2020-11-24,KCHOL,
2020-11-24,HEKTS,
2020-11-24,HALKB,
2020-11-24,THYAO,
2020-11-24,SOKM,
2020-11-24,TCELL,
2020-11-24,TAVHL,
2020-11-24,SISE,
2020-11-24,SAHOL,
2020-11-24,SKBNK,
2020-11-24,PETKM,
2020-11-24,TKNSA,
2020-11-24,INDES,
2020-11-24,DGATE,
2020-11-24,TUPRS,
2020-11-24,TOASO,
2020-11-24,TTRAK,
2020-11-24,KRDMD,
2020-11-24,ISCTR,
2020-11-24,TTKOM,
2020-11-24,ZOREN,
2020-11-24,OTKAR,
2020-11-25,AEFES,
2020-11-25,AGHOL,
2020-11-25,AKSA,
2020-11-25,EREGL,
2020-11-25,FROTO,
2020-11-25,BTCIM,
2020-11-25,CCOLA,
2020-11-25,PAPIL,
2020-11-25,TURSG,
2020-11-25,TKFEN,
2020-11-25,OYAKC,
2020-11-25,PGSUS,
2020-11-25,SASA,
2020-11-25,MAVI,
2020-11-25,BRYAT,
2020-11-25,AKFGY,
2020-11-25,AGESA,
2020-11-25,AKBNK,
2020-11-25,ASUZU,
2020-11-25,AKSEN,
2020-11-25,ANHYT,
2020-11-25,ALARK,
2020-11-25,ENKAI,
2020-11-25,EGEEN,
2020-11-25,BRSAN,
2020-11-25,CEMTS,
2020-11-25,ECILC,
2020-11-25,DOHOL,
2020-11-25,CIMSA,
2020-11-25,DOAS,
2020-11-25,GARAN,
2020-11-25,BERA,
2020-11-25,BRISA,
2020-11-25,BIMAS,
